#Date,Inv,Psum,Pmax
07.11.17,0,11395,0
07.11.17,1,10960,0
07.11.17,2,10521,0
07.11.17,3,13897,0
07.11.17,4,11659,0
07.11.17,5,11652,0
07.11.17,6,11804,0
07.11.17,7,17492,0
07.11.17,8,8215,0
07.11.17,9,10395,0
06.11.17,0,2876,0
06.11.17,1,2833,0
06.11.17,2,2803,0
06.11.17,3,3975,0
06.11.17,4,2563,0
06.11.17,5,2562,0
06.11.17,6,2580,0
06.11.17,7,4032,0
06.11.17,8,1875,0
06.11.17,9,2579,0
05.11.17,0,3261,0
05.11.17,1,3215,0
05.11.17,2,3180,0
05.11.17,3,4474,0
05.11.17,4,2887,0
05.11.17,5,2899,0
05.11.17,6,2900,0
05.11.17,7,4500,0
05.11.17,8,2112,0
05.11.17,9,2954,0
04.11.17,0,10681,0
04.11.17,1,10344,0
04.11.17,2,10154,0
04.11.17,3,13634,0
04.11.17,4,10574,0
04.11.17,5,10383,0
04.11.17,6,10625,0
04.11.17,7,15861,0
04.11.17,8,7482,0
04.11.17,9,9998,0
03.11.17,0,15380,0
03.11.17,1,11692,0
03.11.17,2,14009,0
03.11.17,3,18169,0
03.11.17,4,16261,0
03.11.17,5,15939,0
03.11.17,6,16344,0
03.11.17,7,24094,0
03.11.17,8,11296,0
03.11.17,9,14203,0
02.11.17,0,15310,0
02.11.17,1,11545,0
02.11.17,2,13969,0
02.11.17,3,18191,0
02.11.17,4,16170,0
02.11.17,5,15845,0
02.11.17,6,16234,0
02.11.17,7,23955,0
02.11.17,8,11236,0
02.11.17,9,14321,0
01.11.17,0,16990,0
01.11.17,1,13220,0
01.11.17,2,15644,0
01.11.17,3,20510,0
01.11.17,4,17788,0
01.11.17,5,17351,0
01.11.17,6,17845,0
01.11.17,7,26361,0
01.11.17,8,12394,0
01.11.17,9,15638,0
31.10.17,0,15172,0
31.10.17,1,14500,0
31.10.17,2,13730,0
31.10.17,3,17501,0
31.10.17,4,15922,0
31.10.17,5,15552,0
31.10.17,6,16117,0
31.10.17,7,23817,0
31.10.17,8,11164,0
31.10.17,9,14076,0
30.10.17,0,4461,0
30.10.17,1,4360,0
30.10.17,2,4281,0
30.10.17,3,5887,0
30.10.17,4,4166,0
30.10.17,5,4135,0
30.10.17,6,4195,0
30.10.17,7,6404,0
30.10.17,8,3004,0
30.10.17,9,3997,0
29.10.17,0,2201,0
29.10.17,1,2170,0
29.10.17,2,2124,0
29.10.17,3,3124,0
29.10.17,4,1951,0
29.10.17,5,1965,0
29.10.17,6,1970,0
29.10.17,7,3107,0
29.10.17,8,1433,0
29.10.17,9,1975,0
28.10.17,0,9078,0
28.10.17,1,8827,0
28.10.17,2,8548,0
28.10.17,3,11463,0
28.10.17,4,8927,0
28.10.17,5,8936,0
28.10.17,6,8884,0
28.10.17,7,13323,0
28.10.17,8,6292,0
28.10.17,9,8057,0
27.10.17,0,14635,0
27.10.17,1,14041,0
27.10.17,2,13455,0
27.10.17,3,17685,0
27.10.17,4,15098,0
27.10.17,5,14605,0
27.10.17,6,15146,0
27.10.17,7,22454,0
27.10.17,8,10557,0
27.10.17,9,13001,0
26.10.17,0,15955,0
26.10.17,1,15341,0
26.10.17,2,14580,0
26.10.17,3,19161,0
26.10.17,4,16387,0
26.10.17,5,15875,0
26.10.17,6,16393,0
26.10.17,7,24276,0
26.10.17,8,11452,0
26.10.17,9,13935,0
25.10.17,0,4298,0
25.10.17,1,4190,0
25.10.17,2,4114,0
25.10.17,3,5690,0
25.10.17,4,3993,0
25.10.17,5,3985,0
25.10.17,6,4005,0
25.10.17,7,6146,0
25.10.17,8,2872,0
25.10.17,9,3795,0
24.10.17,0,13132,0
24.10.17,1,12688,0
24.10.17,2,12288,0
24.10.17,3,16197,0
24.10.17,4,13455,0
24.10.17,5,13289,0
24.10.17,6,13286,0
24.10.17,7,19755,0
24.10.17,8,9318,0
24.10.17,9,11879,0
23.10.17,0,15527,0
23.10.17,1,14917,0
23.10.17,2,14235,0
23.10.17,3,18866,0
23.10.17,4,16205,0
23.10.17,5,15737,0
23.10.17,6,16094,0
23.10.17,7,23805,0
23.10.17,8,11214,0
23.10.17,9,13948,0
22.10.17,0,17485,0
22.10.17,1,16787,0
22.10.17,2,15939,0
22.10.17,3,20927,0
22.10.17,4,18478,0
22.10.17,5,17803,0
22.10.17,6,18280,0
22.10.17,7,26988,0
22.10.17,8,12709,0
22.10.17,9,15537,0
21.10.17,0,17574,0
21.10.17,1,16874,0
21.10.17,2,16041,0
